721,673,623,571,517,461,403,343,281,217,151,83,13,49,119,187,253,317,379,439,497,553,607,659,709,757,803,847,889,929,967,1003,1037,1069,1099,1127
768,722,674,624,572,518,462,404,344,282,218,152,84,14,50,120,188,254,318,380,440,498,554,608,660,710,758,804,848,890,930,968,1004,1038,1070,1100
813,769,723,675,625,573,519,463,405,345,283,219,153,85,15,51,121,189,255,319,381,441,499,555,609,661,711,759,805,849,891,931,969,1005,1039,1071
856,814,770,724,676,626,574,520,464,406,346,284,220,154,86,16,52,122,190,256,320,382,442,500,556,610,662,712,760,806,850,892,932,970,1006,1040
897,857,815,771,725,677,627,575,521,465,407,347,285,221,155,87,17,53,123,191,257,321,383,443,501,557,611,663,713,761,807,851,893,933,971,1007
936,898,858,816,772,726,678,628,576,522,466,408,348,286,222,156,88,18,54,124,192,258,322,384,444,502,558,612,664,714,762,808,852,894,934,972
973,937,899,859,817,773,727,679,629,577,523,467,409,349,287,223,157,89,19,55,125,193,259,323,385,445,503,559,613,665,715,763,809,853,895,935
1008,974,938,900,860,818,774,728,680,630,578,524,468,410,350,288,224,158,90,20,56,126,194,260,324,386,446,504,560,614,666,716,764,810,854,896
1041,1009,975,939,901,861,819,775,729,681,631,579,525,469,411,351,289,225,159,91,21,57,127,195,261,325,387,447,505,561,615,667,717,765,811,855
1072,1042,1010,976,940,902,862,820,776,730,682,632,580,526,470,412,352,290,226,160,92,22,58,128,196,262,326,388,448,506,562,616,668,718,766,812
1101,1073,1043,1011,977,941,903,863,821,777,731,683,633,581,527,471,413,353,291,227,161,93,23,59,129,197,263,327,389,449,507,563,617,669,719,767
1128,1102,1074,1044,1012,978,942,904,864,822,778,732,684,634,582,528,472,414,354,292,228,162,94,24,60,130,198,264,328,390,450,508,564,618,670,720
1153,1129,1103,1075,1045,1013,979,943,905,865,823,779,733,685,635,583,529,473,415,355,293,229,163,95,25,61,131,199,265,329,391,451,509,565,619,671
1176,1154,1130,1104,1076,1046,1014,980,944,906,866,824,780,734,686,636,584,530,474,416,356,294,230,164,96,26,62,132,200,266,330,392,452,510,566,620
1197,1177,1155,1131,1105,1077,1047,1015,981,945,907,867,825,781,735,687,637,585,531,475,417,357,295,231,165,97,27,63,133,201,267,331,393,453,511,567
1216,1198,1178,1156,1132,1106,1078,1048,1016,982,946,908,868,826,782,736,688,638,586,532,476,418,358,296,232,166,98,28,64,134,202,268,332,394,454,512
1233,1217,1199,1179,1157,1133,1107,1079,1049,1017,983,947,909,869,827,783,737,689,639,587,533,477,419,359,297,233,167,99,29,65,135,203,269,333,395,455
1248,1234,1218,1200,1180,1158,1134,1108,1080,1050,1018,984,948,910,870,828,784,738,690,640,588,534,478,420,360,298,234,168,100,30,66,136,204,270,334,396
1261,1249,1235,1219,1201,1181,1159,1135,1109,1081,1051,1019,985,949,911,871,829,785,739,691,641,589,535,479,421,361,299,235,169,101,31,67,137,205,271,335
1272,1262,1250,1236,1220,1202,1182,1160,1136,1110,1082,1052,1020,986,950,912,872,830,786,740,692,642,590,536,480,422,362,300,236,170,102,32,68,138,206,272
1281,1273,1263,1251,1237,1221,1203,1183,1161,1137,1111,1083,1053,1021,987,951,913,873,831,787,741,693,643,591,537,481,423,363,301,237,171,103,33,69,139,207
1288,1282,1274,1264,1252,1238,1222,1204,1184,1162,1138,1112,1084,1054,1022,988,952,914,874,832,788,742,694,644,592,538,482,424,364,302,238,172,104,34,70,140
1293,1289,1283,1275,1265,1253,1239,1223,1205,1185,1163,1139,1113,1085,1055,1023,989,953,915,875,833,789,743,695,645,593,539,483,425,365,303,239,173,105,35,71
1296,1294,1290,1284,1276,1266,1254,1240,1224,1206,1186,1164,1140,1114,1086,1056,1024,990,954,916,876,834,790,744,696,646,594,540,484,426,366,304,240,174,106,36
